"gene_id" "GSM158644.CEL"
"215401_at" 5.98929
"215403_at" 6.23343
"215405_at" 5.75812
"215406_at" 5.95696
"215408_at" 6.44541
"215410_at" 4.86004
"215412_x_at" 6.16791
"215428_at" 5.95644
"215435_at" 4.88636
"215439_x_at" 6.72814
"215441_at" 4.39541
"215445_x_at" 4.86824
"215447_at" 5.74251
"215448_at" 5.4959
"215456_at" 7.4038
"215457_at" 4.60716
"215459_at" 5.79732
"215462_at" 7.62373
"215464_s_at" 7.44487
"215466_at" 6.4307
"215469_at" 4.43492
"215470_at" 6.45339
"215473_at" 5.27934
"215474_at" 4.77014
"215475_at" 4.90889
"215476_at" 7.10223
"215477_at" 6.54701
"215479_at" 8.47498
"215484_at" 7.74755
"215487_x_at" 6.48227
"215488_at" 6.89042
"215494_at" 4.76548
"215498_s_at" 9.47035
